brand,year,cars
Alfa Romeo,2013-01-01,1985
Alpina,2013-01-01,55
Alpine,2013-01-01,0
Aston Martin,2013-01-01,223
Audi,2013-01-01,21251
BMW,2013-01-01,20302
Bentley,2013-01-01,176
Bugatti,2013-01-01,4
Cadillac,2013-01-01,128
Caterham,2013-01-01,21
Chevrolet,2013-01-01,4258
Chrysler,2013-01-01,25
Citroen,2013-01-01,11024
DS,2013-01-01,0
Dacia,2013-01-01,5171
Daihatsu,2013-01-01,1
Diverse,2013-01-01,127
Dodge,2013-01-01,187
Ferrari,2013-01-01,359
Fiat,2013-01-01,9725
Fisker,2013-01-01,24
Ford,2013-01-01,14839
Honda,2013-01-01,5595
Hummer,2013-01-01,1
Hyundai,2013-01-01,10211
Infiniti,2013-01-01,83
Iveco,2013-01-01,4
Jaguar,2013-01-01,888
Jeep,2013-01-01,2097
KTM,2013-01-01,3
Kia,2013-01-01,3981
Lada,2013-01-01,12
Lamborghini,2013-01-01,45
Lancia,2013-01-01,885
Land Rover,2013-01-01,3454
Lexus,2013-01-01,656
Lotus,2013-01-01,79
Maserati,2013-01-01,190
Mazda,2013-01-01,7590
McLaren,2013-01-01,31
Mercedes-Benz,2013-01-01,16725
Mini,2013-01-01,4724
Mitsubishi,2013-01-01,4482
Morgan,2013-01-01,27
Nissan,2013-01-01,7505
Opel,2013-01-01,14191
Peugeot,2013-01-01,11784
Porsche,2013-01-01,2517
Renault,2013-01-01,13508
Rolls Royce,2013-01-01,35
Saab,2013-01-01,7
Seat,2013-01-01,9158
Secma,2013-01-01,0
Skoda,2013-01-01,17939
Smart,2013-01-01,1708
Ssangyong,2013-01-01,462
Stimbo,2013-01-01,0
Subaru,2013-01-01,7563
Suzuki,2013-01-01,8364
Tazzari,2013-01-01,0
Tesla,2013-01-01,216
Think,2013-01-01,3
Toyota,2013-01-01,12644
VW,2013-01-01,40923
Volvo,2013-01-01,7710
Alfa Romeo,2014-01-01,2099
Alpina,2014-01-01,87
Alpine,2014-01-01,0
Aston Martin,2014-01-01,153
Audi,2014-01-01,20946
BMW,2014-01-01,21054
Bentley,2014-01-01,168
Bugatti,2014-01-01,2
Cadillac,2014-01-01,155
Caterham,2014-01-01,31
Chevrolet,2014-01-01,2047
Chrysler,2014-01-01,30
Citroen,2014-01-01,11267
DS,2014-01-01,0
Dacia,2014-01-01,4785
Daihatsu,2014-01-01,0
Diverse,2014-01-01,235
Dodge,2014-01-01,406
Ferrari,2014-01-01,357
Fiat,2014-01-01,9027
Fisker,2014-01-01,17
Ford,2014-01-01,12944
Honda,2014-01-01,4499
Hummer,2014-01-01,0
Hyundai,2014-01-01,10996
Infiniti,2014-01-01,118
Iveco,2014-01-01,0
Jaguar,2014-01-01,621
Jeep,2014-01-01,3274
KTM,2014-01-01,5
Kia,2014-01-01,4886
Lada,2014-01-01,31
Lamborghini,2014-01-01,74
Lancia,2014-01-01,795
Land Rover,2014-01-01,3485
Lexus,2014-01-01,853
Lotus,2014-01-01,77
Maserati,2014-01-01,732
Mazda,2014-01-01,7575
McLaren,2014-01-01,49
Mercedes-Benz,2014-01-01,18376
Mini,2014-01-01,4463
Mitsubishi,2014-01-01,3565
Morgan,2014-01-01,19
Nissan,2014-01-01,7165
Opel,2014-01-01,13384
Peugeot,2014-01-01,11419
Porsche,2014-01-01,3164
Renault,2014-01-01,11744
Rolls Royce,2014-01-01,49
Saab,2014-01-01,0
Seat,2014-01-01,9377
Secma,2014-01-01,0
Skoda,2014-01-01,19516
Smart,2014-01-01,1681
Ssangyong,2014-01-01,569
Stimbo,2014-01-01,9
Subaru,2014-01-01,6277
Suzuki,2014-01-01,8514
Tazzari,2014-01-01,3
Tesla,2014-01-01,496
Think,2014-01-01,5
Toyota,2014-01-01,11262
VW,2014-01-01,40139
Volvo,2014-01-01,6866
Alfa Romeo,2015-01-01,1249
Alpina,2015-01-01,66
Alpine,2015-01-01,0
Aston Martin,2015-01-01,126
Audi,2015-01-01,22218
BMW,2015-01-01,24035
Bentley,2015-01-01,152
Bugatti,2015-01-01,3
Cadillac,2015-01-01,134
Caterham,2015-01-01,32
Chevrolet,2015-01-01,262
Chrysler,2015-01-01,1
Citroen,2015-01-01,11516
DS,2015-01-01,0
Dacia,2015-01-01,5396
Daihatsu,2015-01-01,0
Diverse,2015-01-01,154
Dodge,2015-01-01,227
Ferrari,2015-01-01,352
Fiat,2015-01-01,9023
Fisker,2015-01-01,4
Ford,2015-01-01,13700
Honda,2015-01-01,3343
Hummer,2015-01-01,0
Hyundai,2015-01-01,9932
Infiniti,2015-01-01,226
Iveco,2015-01-01,0
Jaguar,2015-01-01,979
Jeep,2015-01-01,3705
KTM,2015-01-01,1
Kia,2015-01-01,5039
Lada,2015-01-01,5
Lamborghini,2015-01-01,81
Lancia,2015-01-01,127
Land Rover,2015-01-01,3800
Lexus,2015-01-01,943
Lotus,2015-01-01,76
Maserati,2015-01-01,705
Mazda,2015-01-01,9982
McLaren,2015-01-01,32
Mercedes-Benz,2015-01-01,22875
Mini,2015-01-01,4861
Mitsubishi,2015-01-01,4041
Morgan,2015-01-01,17
Nissan,2015-01-01,7966
Opel,2015-01-01,13769
Peugeot,2015-01-01,12585
Porsche,2015-01-01,4305
Renault,2015-01-01,14819
Rolls Royce,2015-01-01,31
Saab,2015-01-01,0
Seat,2015-01-01,10450
Secma,2015-01-01,0
Skoda,2015-01-01,20971
Smart,2015-01-01,3409
Ssangyong,2015-01-01,806
Stimbo,2015-01-01,3
Subaru,2015-01-01,6011
Suzuki,2015-01-01,8351
Tazzari,2015-01-01,2
Tesla,2015-01-01,1556
Think,2015-01-01,0
Toyota,2015-01-01,9870
VW,2015-01-01,42208
Volvo,2015-01-01,7251
Alfa Romeo,2016-01-01,1508
Alpina,2016-01-01,73
Alpine,2016-01-01,0
Aston Martin,2016-01-01,127
Audi,2016-01-01,19578
BMW,2016-01-01,24702
Bentley,2016-01-01,219
Bugatti,2016-01-01,3
Cadillac,2016-01-01,228
Caterham,2016-01-01,27
Chevrolet,2016-01-01,237
Chrysler,2016-01-01,6
Citroen,2016-01-01,9071
DS,2016-01-01,0
Dacia,2016-01-01,7422
Daihatsu,2016-01-01,0
Diverse,2016-01-01,82
Dodge,2016-01-01,158
Ferrari,2016-01-01,372
Fiat,2016-01-01,8757
Fisker,2016-01-01,1
Ford,2016-01-01,13081
Honda,2016-01-01,4773
Hummer,2016-01-01,0
Hyundai,2016-01-01,9075
Infiniti,2016-01-01,619
Iveco,2016-01-01,0
Jaguar,2016-01-01,1791
Jeep,2016-01-01,3268
