brand,model,number_2019,number_2018,number_2017,number_2016,number_2015,number_2014,number_2013
Alfa Romeo,4C,39,42,102,97,88,210,5
Alfa Romeo,Giulia,559,678,1156,475,0,0,0
Alfa Romeo,Giulietta,600,890,645,785,971,1559,1482
Alfa Romeo,Mito,57,192,137,151,190,330,489
Alfa Romeo,Stelvio,1626,1814,1248,0,0,0,0
Alpina,B3 Biturbo,5,16,10,22,22,46,34
Alpina,B4 Biturbo,4,6,9,13,7,7,0
Alpina,B5 Biturbo,17,30,9,1,1,1,0
Alpina,B7 Biturbo,1,1,4,0,0,0,0
Alpina,D5 Biturbo,6,5,0,1,0,0,0
Alpina,XD3 Biturbo,17,2,7,24,23,23,20
Alpina,XD4 Biturbo,5,0,0,0,0,0,0
Alpine,A110,183,146,0,0,0,0,0
Aston Martin,DB11,57,66,98,15,0,0,0
Aston Martin,DB9,1,1,6,18,11,11,23
Aston Martin,DBS,44,7,0,0,0,0,3
Aston Martin,Rapide,11,6,12,11,13,19,20
Aston Martin,V12 Vantage,2,14,21,20,26,27,27
Aston Martin,V8 Vantage,54,32,34,32,40,50,66
Aston Martin,Vanquish,11,36,37,18,35,43,56
Audi,A1,1735,1385,1515,2185,2621,2708,2552
Audi,A3,3409,4180,4106,4092,5725,5203,4428
Audi,A4,2153,3107,3120,3614,2823,3458,4148
Audi,A5,708,1134,1555,696,1068,1296,1918
Audi,A6,1235,1140,1245,1542,1990,1777,2157
Audi,A7,151,180,110,188,242,240,282
Audi,A8,50,63,65,94,100,158,118
Audi,e-tron,683,0,0,0,0,0,0
Audi,Q2,2275,2288,2489,294,0,0,0
Audi,Q3,2919,1056,1866,2761,2956,2810,2732
Audi,Q5,2252,2770,3091,2575,3186,2831,2336
Audi,Q7,413,677,1115,1164,759,264,336
Audi,Q8,466,216,0,0,0,0,0
Audi,R8,26,32,38,30,29,25,43
Audi,TT,227,146,300,343,719,176,201
Bentley,Bentayga,57,81,120,76,0,0,0
Bentley,Continental GT,166,119,89,111,119,120,151
Bentley,Flying Spur,2,17,45,25,23,40,25
Bentley,Mulsanne,6,4,7,7,10,8,0
BMW,1er,2300,2223,2543,2498,2915,2830,3874
BMW,2er,3027,3692,4125,4342,3871,852,0
BMW,3er,2651,2284,2817,3159,3679,4043,5653
BMW,4er,991,1343,1723,1894,2187,2063,224
BMW,5er,2099,2708,2654,1661,1917,2029,2662
BMW,6er,107,288,211,205,286,375,393
BMW,7er,371,344,417,483,192,132,163
BMW,8er,347,53,0,0,0,0,0
BMW,i3,1082,1063,912,547,888,390,106
BMW,i8,46,53,43,74,103,64,0
BMW,X1,3392,3557,4178,3656,1629,2179,2411
BMW,X2,1050,922,0,0,0,0,0
BMW,X3,3522,3147,2109,2431,2375,3008,3173
BMW,X4,857,670,866,1101,1024,522,0
BMW,X5,2188,1586,1875,2004,2130,2212,1059
BMW,X6,150,292,366,482,668,176,393
BMW,X7,233,0,0,0,0,0,0
BMW,Z4,405,2,26,165,171,179,191
Bugatti,Chiron,12,7,2,0,0,0,0
Cadillac,ATS,11,12,26,38,32,29,34
Cadillac,CT6,10,11,27,12,0,0,0
Cadillac,CTS,8,13,42,53,37,61,40
Cadillac,Escalade,43,80,38,53,32,24,23
Cadillac,XT5,44,117,81,29,0,0,0
Caterham,Seven,17,23,27,27,32,31,21
Chevrolet,Aveo,1,0,1,2,7,67,516
Chevrolet,Camaro,265,204,227,86,26,277,336
Chevrolet,Corvette,141,44,111,133,145,140,49
Chrysler,300,8,0,0,0,0,0,0
Chrysler,Pacifica,23,39,24,0,0,0,0
Citroen,Berlingo,507,329,317,349,371,382,431
Citroen,C1,630,717,888,1198,1599,804,1094
Citroen,C3,1418,1685,2391,1798,2282,2464,1560
Citroen,C3 Aircross,1057,1220,351,0,0,0,0
Citroen,C4,2,205,327,783,1036,1064,1330
Citroen,C4 Aircross,1,19,295,479,585,482,521
Citroen,C4 Cactus,418,717,401,746,1143,678,0
Citroen,C4 Picasso,61,897,1199,1411,1558,1776,1554
