"TIME","GEO","INDIC_DE","Value"
"1990","European Union - 27 countries (from 2020)","Population on 1 January - total","418 030 739"
"1990","European Union - 28 countries (2013-2020)","Population on 1 January - total","475 187 711"
"1990","Belgium","Population on 1 January - total","9 947 782"
"1990","Bulgaria","Population on 1 January - total","8 767 308"
"1990","Czechia","Population on 1 January - total","10 362 102"
"1990","Denmark","Population on 1 January - total","5 135 409"
"1990","Germany including former GDR","Population on 1 January - total","79 112 831"
"1990","Estonia","Population on 1 January - total","1 570 599"
"1990","Ireland","Population on 1 January - total","3 506 970"
"1990","Greece","Population on 1 January - total","10 120 892"
"1990","Spain","Population on 1 January - total","38 853 227"
"1990","France","Population on 1 January - total","58 029 398"
"1990","Croatia","Population on 1 January - total","4 772 556"
"1990","Italy","Population on 1 January - total","56 694 360"
"1990","Cyprus","Population on 1 January - total","572 655"
"1990","Latvia","Population on 1 January - total","2 668 140"
"1990","Lithuania","Population on 1 January - total","3 693 708"
"1990","Luxembourg","Population on 1 January - total","379 300"
"1990","Hungary","Population on 1 January - total","10 374 823"
"1990","Malta","Population on 1 January - total","352 430"
"1990","Netherlands","Population on 1 January - total","14 892 574"
"1990","Austria","Population on 1 January - total","7 644 818"
"1990","Poland","Population on 1 January - total","38 038 403"
"1990","Portugal","Population on 1 January - total","9 995 995"
"1990","Romania","Population on 1 January - total","23 211 395"
"1990","Slovenia","Population on 1 January - total","1 996 377"
"1990","Slovakia","Population on 1 January - total","5 287 663"
"1990","Finland","Population on 1 January - total","4 974 383"
"1990","Sweden","Population on 1 January - total","8 527 039"
"1990","United Kingdom","Population on 1 January - total","57 156 972"
"1990","Iceland","Population on 1 January - total","253 785"
"1990","Liechtenstein","Population on 1 January - total","28 452"
"1990","Norway","Population on 1 January - total","4 233 116"
"1990","Switzerland","Population on 1 January - total","6 673 850"
"1991","European Union - 27 countries (from 2020)","Population on 1 January - total","419 504 036"
"1991","European Union - 28 countries (2013-2020)","Population on 1 January - total","476 842 235"
