"TIME","GEO","UNIT","MOT_NRG","ENGINE","Value"
"1990","Belgium","Number","Total","Total","3 864 000"
"1990","Belgium","Number","Total","Less than 1 400 cm³",":"
"1990","Belgium","Number","Total","From 1 400 to 1 999 cm³",":"
"1990","Belgium","Number","Total","2 000 cm³ or over",":"
"1990","Belgium","Number","Petroleum products","Total",":"
"1990","Belgium","Number","Petroleum products","Less than 1 400 cm³",":"
"1990","Belgium","Number","Petroleum products","From 1 400 to 1 999 cm³",":"
"1990","Belgium","Number","Petroleum products","2 000 cm³ or over",":"
"1990","Belgium","Number","Diesel","Total",":"
"1990","Belgium","Number","Diesel","Less than 1 400 cm³",":"
"1990","Belgium","Number","Diesel","From 1 400 to 1 999 cm³",":"
"1990","Belgium","Number","Diesel","2 000 cm³ or over",":"
"1990","Bulgaria","Number","Total","Total","1 317 000"
"1990","Bulgaria","Number","Total","Less than 1 400 cm³",":"
"1990","Bulgaria","Number","Total","From 1 400 to 1 999 cm³",":"
"1990","Bulgaria","Number","Total","2 000 cm³ or over",":"
"1990","Bulgaria","Number","Petroleum products","Total",":"
"1990","Bulgaria","Number","Petroleum products","Less than 1 400 cm³",":"
"1990","Bulgaria","Number","Petroleum products","From 1 400 to 1 999 cm³",":"
"1990","Bulgaria","Number","Petroleum products","2 000 cm³ or over",":"
"1990","Bulgaria","Number","Diesel","Total",":"
"1990","Bulgaria","Number","Diesel","Less than 1 400 cm³",":"
"1990","Bulgaria","Number","Diesel","From 1 400 to 1 999 cm³",":"
"1990","Bulgaria","Number","Diesel","2 000 cm³ or over",":"
"1990","Czechia","Number","Total","Total","2 411 000"
"1990","Czechia","Number","Total","Less than 1 400 cm³",":"
"1990","Czechia","Number","Total","From 1 400 to 1 999 cm³",":"
"1990","Czechia","Number","Total","2 000 cm³ or over",":"
"1990","Czechia","Number","Petroleum products","Total",":"
"1990","Czechia","Number","Petroleum products","Less than 1 400 cm³",":"
"1990","Czechia","Number","Petroleum products","From 1 400 to 1 999 cm³",":"
"1990","Czechia","Number","Petroleum products","2 000 cm³ or over",":"
"1990","Czechia","Number","Diesel","Total",":"
"1990","Czechia","Number","Diesel","Less than 1 400 cm³",":"
"1990","Czechia","Number","Diesel","From 1 400 to 1 999 cm³",":"
"1990","Czechia","Number","Diesel","2 000 cm³ or over",":"
"1990","Denmark","Number","Total","Total","1 590 000"
"1990","Denmark","Number","Total","Less than 1 400 cm³",":"
"1990","Denmark","Number","Total","From 1 400 to 1 999 cm³",":"
"1990","Denmark","Number","Total","2 000 cm³ or over",":"
"1990","Denmark","Number","Petroleum products","Total",":"
"1990","Denmark","Number","Petroleum products","Less than 1 400 cm³",":"
"1990","Denmark","Number","Petroleum products","From 1 400 to 1 999 cm³",":"
"1990","Denmark","Number","Petroleum products","2 000 cm³ or over",":"
"1990","Denmark","Number","Diesel","Total",":"
"1990","Denmark","Number","Diesel","Less than 1 400 cm³",":"
"1990","Denmark","Number","Diesel","From 1 400 to 1 999 cm³",":"
"1990","Denmark","Number","Diesel","2 000 cm³ or over",":"
"1990","Germany (until 1990 former territory of the FRG)","Number","Total","Total","30 685 000"
"1990","Germany (until 1990 former territory of the FRG)","Number","Total","Less than 1 400 cm³",":"
"1990","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 400 to 1 999 cm³",":"
"1990","Germany (until 1990 former territory of the FRG)","Number","Total","2 000 cm³ or over",":"
"1990","Germany (until 1990 former territory of the FRG)","Number","Petroleum products","Total",":"
"1990","Germany (until 1990 former territory of the FRG)","Number","Petroleum products","Less than 1 400 cm³",":"
"1990","Germany (until 1990 former territory of the FRG)","Number","Petroleum products","From 1 400 to 1 999 cm³",":"
"1990","Germany (until 1990 former territory of the FRG)","Number","Petroleum products","2 000 cm³ or over",":"
"1990","Germany (until 1990 former territory of the FRG)","Number","Diesel","Total",":"
"1990","Germany (until 1990 former territory of the FRG)","Number","Diesel","Less than 1 400 cm³",":"
"1990","Germany (until 1990 former territory of the FRG)","Number","Diesel","From 1 400 to 1 999 cm³",":"
"1990","Germany (until 1990 former territory of the FRG)","Number","Diesel","2 000 cm³ or over",":"
"1990","Estonia","Number","Total","Total","241 664"
"1990","Estonia","Number","Total","Less than 1 400 cm³",":"
"1990","Estonia","Number","Total","From 1 400 to 1 999 cm³",":"
"1990","Estonia","Number","Total","2 000 cm³ or over",":"
"1990","Estonia","Number","Petroleum products","Total",":"
"1990","Estonia","Number","Petroleum products","Less than 1 400 cm³",":"
"1990","Estonia","Number","Petroleum products","From 1 400 to 1 999 cm³",":"
"1990","Estonia","Number","Petroleum products","2 000 cm³ or over",":"
"1990","Estonia","Number","Diesel","Total",":"
"1990","Estonia","Number","Diesel","Less than 1 400 cm³",":"
"1990","Estonia","Number","Diesel","From 1 400 to 1 999 cm³",":"
"1990","Estonia","Number","Diesel","2 000 cm³ or over",":"
"1990","Ireland","Number","Total","Total","797 713"
"1990","Ireland","Number","Total","Less than 1 400 cm³",":"
"1990","Ireland","Number","Total","From 1 400 to 1 999 cm³",":"
"1990","Ireland","Number","Total","2 000 cm³ or over",":"
"1990","Ireland","Number","Petroleum products","Total","721 000"
"1990","Ireland","Number","Petroleum products","Less than 1 400 cm³",":"
"1990","Ireland","Number","Petroleum products","From 1 400 to 1 999 cm³",":"
"1990","Ireland","Number","Petroleum products","2 000 cm³ or over",":"
"1990","Ireland","Number","Diesel","Total","73 000"
"1990","Ireland","Number","Diesel","Less than 1 400 cm³",":"
"1990","Ireland","Number","Diesel","From 1 400 to 1 999 cm³",":"
"1990","Ireland","Number","Diesel","2 000 cm³ or over",":"
"1990","Greece","Number","Total","Total","1 736 000"
"1990","Greece","Number","Total","Less than 1 400 cm³",":"
"1990","Greece","Number","Total","From 1 400 to 1 999 cm³",":"
"1990","Greece","Number","Total","2 000 cm³ or over",":"
"1990","Greece","Number","Petroleum products","Total",":"
"1990","Greece","Number","Petroleum products","Less than 1 400 cm³",":"
"1990","Greece","Number","Petroleum products","From 1 400 to 1 999 cm³",":"
"1990","Greece","Number","Petroleum products","2 000 cm³ or over",":"
"1990","Greece","Number","Diesel","Total",":"
"1990","Greece","Number","Diesel","Less than 1 400 cm³",":"
"1990","Greece","Number","Diesel","From 1 400 to 1 999 cm³",":"
"1990","Greece","Number","Diesel","2 000 cm³ or over",":"
"1990","Spain","Number","Total","Total","11 996 000"
"1990","Spain","Number","Total","Less than 1 400 cm³",":"
"1990","Spain","Number","Total","From 1 400 to 1 999 cm³",":"
"1990","Spain","Number","Total","2 000 cm³ or over",":"
"1990","Spain","Number","Petroleum products","Total",":"
"1990","Spain","Number","Petroleum products","Less than 1 400 cm³",":"
"1990","Spain","Number","Petroleum products","From 1 400 to 1 999 cm³",":"
"1990","Spain","Number","Petroleum products","2 000 cm³ or over",":"
"1990","Spain","Number","Diesel","Total",":"
"1990","Spain","Number","Diesel","Less than 1 400 cm³",":"
"1990","Spain","Number","Diesel","From 1 400 to 1 999 cm³",":"
"1990","Spain","Number","Diesel","2 000 cm³ or over",":"
"1990","France","Number","Total","Total","23 550 000"
"1990","France","Number","Total","Less than 1 400 cm³",":"
"1990","France","Number","Total","From 1 400 to 1 999 cm³",":"
"1990","France","Number","Total","2 000 cm³ or over",":"
"1990","France","Number","Petroleum products","Total",":"
"1990","France","Number","Petroleum products","Less than 1 400 cm³",":"
"1990","France","Number","Petroleum products","From 1 400 to 1 999 cm³",":"
"1990","France","Number","Petroleum products","2 000 cm³ or over",":"
"1990","France","Number","Diesel","Total","3 775 000"
"1990","France","Number","Diesel","Less than 1 400 cm³",":"
"1990","France","Number","Diesel","From 1 400 to 1 999 cm³",":"
"1990","France","Number","Diesel","2 000 cm³ or over",":"
"1990","Croatia","Number","Total","Total","795 000"
"1990","Croatia","Number","Total","Less than 1 400 cm³",":"
"1990","Croatia","Number","Total","From 1 400 to 1 999 cm³",":"
"1990","Croatia","Number","Total","2 000 cm³ or over",":"
